domain,brand,external_product_id,title,product_kind,recommended_lane,catalog_attached,index_serving_eligible,identity_ready,product_intel_high_quality,price_amount,price_currency,availability,description_len,has_image,has_full_inci,has_how_to,hard_risk,source_gap,quality_flags,canonical_url
joocyee.com,Joocyee,ext_70a0b0b3c68a48630060c7ff,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_75c1cd3bbad92bbdbc6ab010,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_a9a9d873995dc784e34cb222,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_bb9685457f5a919c945ee9ce,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,true,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joocyee.com,Joocyee,ext_c037778265747b32fc52a16c,Glazed Lip Gloss,beauty_formula,serving_index_sync,true,false,true,false,19.9,USD,in_stock,667,true,true,true,false,false,,https://joocyee.com/products/glazed-lip-gloss
joujoubotanicals.com,JouJou,ext_83ec9657a96effaf0923f850,APHRODITE Body Oil,beauty_formula,serving_index_sync,true,false,true,true,91,USD,in_stock,313,true,true,true,false,false,,https://joujoubotanicals.com/products/aphrodite-body-oil
joujoubotanicals.com,JouJou,ext_de5c3d5849b1256eca4a7566,FLORAL FILTER Face Mask,beauty_formula,serving_index_sync,true,false,true,true,101,USD,in_stock,350,true,true,true,false,false,,https://joujoubotanicals.com/products/floral-filter-face-mask
lovemasami.com,MASAMI,ext_53cf4f0ee46873d280f632db,Mekabu Hydrating Shine Serum,beauty_formula,serving_index_sync,true,false,true,true,34,USD,in_stock,500,true,true,true,false,false,,https://lovemasami.com/products/mekabu-serum
rmsbeauty.com,RMS Beauty,ext_9247e1285fadd4b02bc33aad,Makeup Remover | Ultimate Makeup Remover Wipe,beauty_formula,serving_index_sync,true,false,true,true,25,USD,in_stock,413,true,true,true,false,false,,https://www.rmsbeauty.com/products/ultimate-makeup-remover-wipe
rohrremedy.com,Rohr Remedy,ext_1b95875bc9bdeee751d0cee1,Lilly Pilly Face Moisturiser with Omega-3,beauty_formula,serving_index_sync,true,false,true,true,30,USD,in_stock,396,true,true,true,false,false,,https://rohrremedy.com/products/lilly-pilly-face-moisturiser
seresilk.com.au,Seresilk,ext_0d4ffd13b899460cabb1f392,Gentle Silk Cleanser,beauty_formula,serving_index_sync,true,false,true,true,54.52,USD,in_stock,847,true,true,true,false,false,,https://seresilk.com.au/products/gentle-silk-cleanser
786cosmetics.com,786 Cosmetics,ext_faf89834933316df0d8da973,Azores - Breathable Nail Polish,beauty_formula,identity_refresh,true,false,false,false,13.99,USD,in_stock,396,true,true,true,false,false,,https://786cosmetics.com/products/azores-breathable-nail-polish
