sellable_item_group_id,product_line_id,row_count,live_read_count,stale_payload_count,seed_active_count,seed_active_expectation_count,identity_active_count,sig_mixed_active_expectation,canonical_selection_gap,canonical_content_ref,fresh_best_content_ref,sync_candidate_count,sample_titles
sig_e6417f0e5991a1ca305a0b92,pl_d3923f539399bed0255b7af4,1,1,1,1,1,0,false,true,external_seed:ext_94e79b8163564b4df1764a92,external_seed:ext_94e79b8163564b4df1764a92,1,Birch Moisturizing Cream
sig_d8fb2fd88ae138c0139afe9d,pl_e7b13628e9cff1869685f75d,1,1,1,1,1,0,false,true,external_seed:ext_189fe972ab697d890927ee68,external_seed:ext_189fe972ab697d890927ee68,1,Birch Moisturizing Double Gel Mask
sig_308bc02699c64415d5e24625,pl_65484dbfa7a044d78ab2b3c5,1,1,1,1,1,0,false,true,external_seed:ext_4b5349ed18ef549b67076e55,external_seed:ext_4b5349ed18ef549b67076e55,1,Birch Moisturizing Intensive Cream
sig_8b7a7c6795ff58f373c03f1f,pl_3075600e6d134079f294cd8d,1,1,1,1,1,0,false,true,external_seed:ext_5c41aae887538067c0e3fff5,external_seed:ext_5c41aae887538067c0e3fff5,1,Birch Moisturizing Lip Balm
sig_6aeefe99fe5f9ca3f8a09641,pl_ec2b37a2cde048f240557c00,1,1,1,1,1,0,false,true,external_seed:ext_203dc23d76d112e309035d38,external_seed:ext_203dc23d76d112e309035d38,1,"Birch Moisturizing Mild-Up Sunscreen SPF 50+, PA++++"
sig_7283596ab481e770f809f550,pl_cf88d0a05c6dfa7c911573fb,1,1,1,1,1,0,false,true,external_seed:ext_b8b101bf12d600cfb7df256b,external_seed:ext_b8b101bf12d600cfb7df256b,1,Birch Moisturizing Serum
sig_68b7ac10c31c0c59fdb6f41b,pl_f59b31cb30a0ee85463bb955,1,1,1,1,1,0,false,true,external_seed:ext_9165bb79ae5cf649654fc68d,external_seed:ext_9165bb79ae5cf649654fc68d,1,Birch Moisturizing Sheet Mask
sig_ee1f43edde13df2e652756dd,pl_efa84ca1c96a9bbcea01d8b1,1,1,1,1,1,0,false,true,external_seed:ext_ff6fed4e89cf27cc919e00af,external_seed:ext_ff6fed4e89cf27cc919e00af,1,Birch Moisturizing Soothing Gel
sig_1003dcf98c54d9f58afff6ae,pl_a37cb35ce4ea129b676c6079,1,1,1,1,1,0,false,true,external_seed:ext_cc8b7d1b7b03c51487bb1608,external_seed:ext_cc8b7d1b7b03c51487bb1608,1,Birch Moisturizing Sunscreen UVLock SPF 45+ Broad Spectrum
sig_9359804e732a9de392a144cc,pl_d552587dbadb5c978d8bcd59,1,1,1,1,1,0,false,true,external_seed:ext_30b150bf80240151c93739a8,external_seed:ext_30b150bf80240151c93739a8,1,Birch Moisturizing Sunscreen UVLock SPF 45+ Broad Spectrum [Subscription]
