domain,brand_examples,rows,catalog_attached,catalog_attached_pct,index_serving_eligible,index_serving_eligible_pct,identity_ready,identity_ready_pct,product_intel_high_quality,product_intel_high_quality_pct,ready_or_covered,catalog_identity_sync,serving_index_sync,identity_refresh,product_intel_review,hold_source_gap,hold_risk_review,quality_flag_summary
supergoop.com,Supergoop! | Supergoop,39,39,100,39,100,38,97.4,7,17.9,0,0,0,0,0,1,38,sunscreen_regulated:24 | wellness_or_supplement:8 | accessory_or_tool:4 | bundle_or_sample:2 | missing_or_short_description:2 | missing_full_inci:1 | regulated_claim_review:1
catkin.com,Catkin | CATKIN Cosmetics,36,36,100,1,2.8,13,36.1,36,100,0,0,0,0,0,1,35,duplicate_canonical_identity_review:34 | regulated_claim_review:24 | wellness_or_supplement:23 | missing_full_inci:12 | missing_how_to:12 | accessory_or_tool:1
kravebeauty.com,KraveBeauty,35,35,100,34,97.1,35,100,35,100,5,0,0,0,0,0,30,bundle_or_sample:17 | regulated_claim_review:14 | accessory_or_tool:4 | sunscreen_regulated:2 | missing_currency:1 | missing_full_inci:1 | missing_how_to:1 | wellness_or_supplement:1
haruharuwonder.com,Haruharu Wonder,31,31,100,31,100,31,100,31,100,13,0,0,0,0,0,18,regulated_claim_review:9 | wellness_or_supplement:6 | sunscreen_regulated:5 | accessory_or_tool:1
nourwish.com,Nourwish,26,26,100,10,38.5,23,88.5,25,96.2,0,0,0,0,0,0,26,regulated_claim_review:24 | bundle_or_sample:12 | accessory_or_tool:7 | missing_full_inci:6 | missing_how_to:6 | wellness_or_supplement:1
terraandco.com,Terra & Co.,24,24,100,8,33.3,15,62.5,24,100,0,0,0,0,0,0,24,regulated_claim_review:22 | accessory_or_tool:17 | wellness_or_supplement:4 | missing_full_inci:2 | missing_how_to:2 | bundle_or_sample:1
joocyee.com,Joocyee,18,18,100,4,22.2,18,100,18,100,4,0,0,0,0,0,14,duplicate_canonical_identity_review:14
judydoll.com,Judydoll,17,17,100,9,52.9,14,82.4,17,100,0,0,0,0,0,9,8,missing_full_inci:17 | duplicate_canonical_identity_review:8
medicube.us,Medicube,17,17,100,17,100,15,88.2,17,100,10,0,0,0,0,0,7,wellness_or_supplement:5 | regulated_claim_review:2 | bundle_or_sample:1
mossnoor.com,Moss & Noor,16,16,100,0,0,0,0,16,100,0,0,0,0,0,8,8,missing_how_to:12 | regulated_claim_review:4 | wellness_or_supplement:4 | missing_full_inci:2
skintific.com,SKINTIFIC,15,15,100,15,100,15,100,8,53.3,3,0,0,0,0,0,12,bundle_or_sample:7 | wellness_or_supplement:4 | regulated_claim_review:3 | sunscreen_regulated:1
biologique-recherche.com,biologique-recherche,14,14,100,12,85.7,12,85.7,3,21.4,0,0,0,0,0,11,3,missing_full_inci:13 | missing_currency:2 | regulated_claim_review:2 | wellness_or_supplement:1
byrabeauty.com,Byra,14,14,100,6,42.9,14,100,12,85.7,0,0,0,0,0,1,13,regulated_claim_review:10 | wellness_or_supplement:6 | bundle_or_sample:3 | missing_full_inci:3 | missing_how_to:3 | accessory_or_tool:2 | high_price_review:1
lunanectar.com,Luna Nectar,11,11,100,5,45.5,11,100,11,100,0,0,0,0,0,4,7,missing_full_inci:9 | regulated_claim_review:5 | missing_how_to:2 | wellness_or_supplement:2
nubest.com,NuBest,10,10,100,4,40,10,100,10,100,0,0,0,0,0,0,10,wellness_or_supplement:10 | regulated_claim_review:1
intoyoucosmetics.com,INTO YOU,9,9,100,2,22.2,3,33.3,9,100,0,0,0,0,0,1,8,missing_full_inci:9 | missing_how_to:9 | duplicate_canonical_identity_review:7 | regulated_claim_review:1
paulaschoice.com,Paula's Choice,9,9,100,9,100,9,100,7,77.8,0,0,0,0,0,3,6,missing_full_inci:5 | regulated_claim_review:4 | wellness_or_supplement:3 | sunscreen_regulated:1
