source,dataset,pipeline_mode_used,sample_hash,image_path_rel,ok,fail_reason,reason_detail,ext_from_path,magic_type,container_hint,decode_ext,decode_magic,decode_error_code,heic_conversion_applied,heic_conversion_status,heic_conversion_tool,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,under_eye_left_pixels,under_eye_right_pixels,module_guard_triggered,module_min_pixels_under_eye,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,module_pixels_map,module_guard_pixel_diffs,degraded_reasons,reverted_modules,guarded_modules,note
internal,internal,local,12b9f97c30dd20df1729,1770790995164.JPG,false,SAMPLE_LOAD_FAIL,HEIC_UNSUPPORTED,.jpg,heic,ftypheic,.jpg,heic,heic_decode_failed,false,,,,,0,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,heic_not_supported_and_convert_disabled
internal,internal,remote,d74bff5edd9a03a256dc,IMG_9560.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,76b0604c27065237198a,IMG_9567.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
internal,internal,remote,c1c8d71be8c35385c9eb,1770608010120.JPG,false,NO_PHOTO_MODULES_CARD,,.jpg,jpeg,,.jpg,jpeg,,false,,,ok,,200,,0,0,0,0,false,,1,,,,,,,,,,,,false,false,,,1.5,{},[],,,,
fasseg,fasseg,fasseg_eval,d80d5cd03bb228f506d5,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,cab735e532536a523369,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,7726c9e29daea05a418d,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,33efd9c0b8510abc9f9e,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,f3347367324892256656,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,cdbfbfae36b4ccee2d88,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,e27f54d36eecbaf60010,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,bda462665c5788f9deb6,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,685010ca2b4790d0c91d,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,d781618b694b6938f683,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,a9ec668e665554446caf,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,96bcf2836631ce97bfea,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,5fe90faa854804d68851,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,6c5601a413967a679b9d,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,c3fc5ec220165ad94dbc,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,01633277e8cbce167fdc,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,03ef8449e505553f3f08,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,1282f3c995d3ff451e8e,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,12c1ec6a4a729ecfa504,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,5cf8f3544b04e411aa30,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,d09ee5682881a901ab67,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,a4c8e2bd4a257cae0939,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,6ceb698bec7f9ff250af,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,31344b7d6847c27580ba,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,965f655146b7f3630784,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,70db2dab451c53a85ad6,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,7d3c2e4512df663f61a5,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,89c2415ac2f313ec0afe,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,9ba324d85a67220331c0,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,7e8b6ee71a00fbb0b09e,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,c9599a5e9732c9728c80,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,66a6b0b43e3cdf684277,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
fasseg,fasseg,fasseg_eval,e141bc6a632605d49a2f,,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,,,,,,,false,,,,,200,,0,0,0,0,false,,0,0,,0,,,,,,,,,false,false,,,0,{},[],,,,photo_modules_card_missing
