source,dataset,pipeline_mode_used,sample_hash,ok,fail_reason,reason_detail,decode_ext,decode_magic,decode_error_code,integration_status,integration_fail_reason,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_bg_est_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_leakage_bg_est,nose_leakage_bg_est,chin_outside_oval_ratio,nose_outside_oval_ratio,chin_bottom_band_ratio,nose_side_band_ratio,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
fasseg,fasseg,fasseg_eval,685010ca2b4790d0c91d,true,,,,,,,,200,degraded,7,204,0,0.135,,0.004,0.819,0.023,,,,,,,false,false,true,true,0.819,,,
fasseg,fasseg,fasseg_eval,d781618b694b6938f683,true,,,,,,,,200,degraded,7,204,0,0.018,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,a9ec668e665554446caf,true,,,,,,,,200,degraded,7,204,0,0.018,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,96bcf2836631ce97bfea,true,,,,,,,,200,degraded,7,204,0,0.018,,0.003,0.064,0.009,,,,,,,false,false,true,true,0.064,,,
fasseg,fasseg,fasseg_eval,5fe90faa854804d68851,true,,,,,,,,200,degraded,7,204,0,0.017,,0.005,0,0.009,,,,,,,false,false,true,true,0.009,,,
fasseg,fasseg,fasseg_eval,6c5601a413967a679b9d,true,,,,,,,,200,degraded,7,204,0,0.017,,0.008,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,c3fc5ec220165ad94dbc,true,,,,,,,,200,degraded,7,204,0,0.012,,0.007,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,01633277e8cbce167fdc,true,,,,,,,,200,degraded,7,204,0,0.011,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,03ef8449e505553f3f08,true,,,,,,,,200,fail,7,2172,0,0.24,,0.001,0.373,0.868,,,,,,,false,false,true,true,0.868,QUALITY_GATED,,
fasseg,fasseg,fasseg_eval,1282f3c995d3ff451e8e,true,,,,,,,,200,degraded,7,204,0,0.013,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,12c1ec6a4a729ecfa504,true,,,,,,,,200,degraded,7,204,0,0.162,,0.001,0,1,,,,,,,false,false,true,true,1,,,
fasseg,fasseg,fasseg_eval,5cf8f3544b04e411aa30,true,,,,,,,,200,degraded,7,204,0,0.018,,0.006,0,0.069,,,,,,,false,false,true,true,0.069,,,
fasseg,fasseg,fasseg_eval,d09ee5682881a901ab67,true,,,,,,,,200,degraded,7,204,0,0.034,,0.004,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,a4c8e2bd4a257cae0939,true,,,,,,,,200,degraded,7,204,0,0.026,,0.003,0,0.024,,,,,,,false,false,true,true,0.024,,,
fasseg,fasseg,fasseg_eval,6ceb698bec7f9ff250af,true,,,,,,,,200,degraded,7,204,0,0.011,,0.001,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,31344b7d6847c27580ba,true,,,,,,,,200,degraded,7,204,0,0.015,,0.005,0.01,0.001,,,,,,,false,false,true,true,0.01,,,
fasseg,fasseg,fasseg_eval,965f655146b7f3630784,true,,,,,,,,200,degraded,7,204,0,0.01,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,70db2dab451c53a85ad6,true,,,,,,,,200,degraded,7,204,0,0.009,,0.003,0,0,,,,,,,false,false,true,true,0,,,
fasseg,fasseg,fasseg_eval,7d3c2e4512df663f61a5,true,,,,,,,,200,degraded,7,204,0,0.138,,0.008,0.843,0.034,,,,,,,false,false,true,true,0.843,,,
