source,dataset,sample_hash,ok,fail_reason,reason_detail,status_code,quality_grade,modules_count,module_pixels_min,empty_module_rate,leakage_bg_mean,leakage_hair_mean,chin_leakage_bg,nose_leakage_bg,chin_touches_oval_bottom,nose_touches_oval_side,face_detect_ok,landmark_ok,risk_score,degraded_reasons,reverted_modules,note
fasseg,fasseg,6c5601a413967a679b9d,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,c3fc5ec220165ad94dbc,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,01633277e8cbce167fdc,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,03ef8449e505553f3f08,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,1282f3c995d3ff451e8e,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,12c1ec6a4a729ecfa504,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,5cf8f3544b04e411aa30,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,d09ee5682881a901ab67,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,a4c8e2bd4a257cae0939,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,6ceb698bec7f9ff250af,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,31344b7d6847c27580ba,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,965f655146b7f3630784,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,70db2dab451c53a85ad6,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,7d3c2e4512df663f61a5,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,89c2415ac2f313ec0afe,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,9ba324d85a67220331c0,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,7e8b6ee71a00fbb0b09e,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,c9599a5e9732c9728c80,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,66a6b0b43e3cdf684277,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,e141bc6a632605d49a2f,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,ce0ac1e23a218d3cb9b7,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,82c2d3069d6d733ee877,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,8d974d161a9c8ae30624,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,91055fee7b4c06e24afe,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,9d1a0c5281d6231d9f39,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,e4e50994674fce3ba9af,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,d945b7c08ab302d5a0fd,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,3b95898a5fa1505349ab,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,8a41f4c1957feb9f844c,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,80cab335c4550101b3f2,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,4dd4aba800bcc725b892,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,9f3f9948a5cc723496dc,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,a8ef4727bd0ba30f1519,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,cad11a987dcb59b9c31a,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,b6d88fa7eee019450100,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,47ddb4a41c167ced0283,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,9bab497955bb0a86418e,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,a5aa357f8256daf1a187,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,aa06e324845f710e2ff7,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,29eac7b6512d2f13a56e,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,1ff14ee379e4f712a0aa,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,7c5630245699f9ee0be3,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
fasseg,fasseg,ccc42ed66e2468024b8c,false,PRED_MODULES_MISSING,CIRCLE_PRIOR_MISSING,200,,0,0,0,0,0,,,false,false,,,0,,,photo_modules_card_missing
